Subject,Start Date,Start Time,End Date,End Time,Location
Koos competitie tegen Jemig,04/07/2017,07:15 PM,04/07/2017,09:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen SKM + dubbel,04/07/2017,09:15 PM,04/07/2017,11:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen Life Koos On,04/14/2017,07:15 PM,04/14/2017,09:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen Kansloos + dubbel,04/21/2017,09:15 PM,04/21/2017,11:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen Disko Partizani + dubbel,04/28/2017,07:15 PM,04/28/2017,09:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen The Beat Koos On,04/28/2017,09:15 PM,04/28/2017,11:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen Mix2017 + dubbel,05/12/2017,09:15 PM,05/12/2017,11:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen B.A.M. + dubbel,05/19/2017,07:15 PM,05/19/2017,09:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen Cap Gemini,05/26/2017,07:15 PM,05/26/2017,09:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen Good Busy,05/26/2017,09:15 PM,05/26/2017,11:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen Koosbusters + dubbel,06/02/2017,07:15 PM,06/02/2017,09:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen Team Hailey,06/09/2017,07:15 PM,06/09/2017,09:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen Squash Bier & Tietanium Rackets,06/16/2017,09:15 PM,06/16/2017,11:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen Kleine Kompetitie,06/23/2017,07:15 PM,06/23/2017,09:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen Overdrive,06/30/2017,07:15 PM,06/30/2017,09:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen ∆x  ∆p  ≥  ħ/2 + dubbel,06/30/2017,09:15 PM,06/30/2017,11:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen Mixed Frusties + dubbel,07/07/2017,07:15 PM,07/07/2017,09:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
Koos competitie tegen Snacksappeal,07/07/2017,09:15 PM,07/07/2017,11:15 PM,"All Inn Squash, Vlampijpstraat 79, 3534 AR Utrecht, Netherlands"
